commit_short,instance_id,base_commit,seed_node_id,seed_node_resolved,seed_resolution_mode,seed_depth,embed_nodes,vector_used,seed_pool_idx,scanned,skipped_original,skipped_test_file,skipped_depth_mismatch,top_indices,compat_nonempty,candidates,best_anchor_node_id,best_vector_score,best_topology_score,best_final_score,failure_reason,elapsed_s
004b4620,django__django-14787,004b4620f6f4ad87261e149898940f2dcd5757ef,django/utils/decorators.py:_update_method_wrapper,django/utils/decorators.py:_update_method_wrapper,exact,3,30665,1,4384,164,3,105,6,50,45,5,django/utils/decorators.py:decorator_from_middleware,0.583814,0.959717,0.809356,,0.6653
00ea883e,django__django-14672,00ea883ef56fb5e092cbe4a6f7ff2e7470886ac4,django/utils/hashable.py:make_hashable,django/utils/hashable.py:make_hashable,exact,3,30254,1,6542,119,2,65,2,50,33,5,django/utils/itercompat.py:is_iterable,0.553053,0.985654,0.812614,,0.7662
03cadb91,django__django-15213,03cadb912c78b769d6bf4a943a2a35fc1d952960,django/db/models/query_utils.py:Q.__invert__,django/db/models/query_utils.py:Q.__invert__,exact,5,30896,1,52677,439,1,225,163,50,32,5,django/db/models/lookups.py:UUIDTextMixin.process_rhs,0.421244,0.765180,0.627606,,0.8137
0456d3e4,django__django-13447,0456d3e42795481a186db05719300691fe2a1029,django/contrib/admin/sites.py:AdminSite._build_app_dict,django/contrib/admin/sites.py:AdminSite._build_app_dict,exact,4,29880,1,36681,198,4,106,38,50,49,5,django/contrib/admin/options.py:ModelAdmin.get_model_perms,0.736232,0.980318,0.882684,,0.7394
04b15022,django__django-16229,04b15022e8d1f49af69d8a1e6cd678f31f1280ff,django/contrib/postgres/fields/array.py:ArrayField.to_python,django/contrib/postgres/fields/array.py:ArrayField.to_python,exact,4,31996,1,45364,139,2,19,68,50,49,5,django/contrib/auth/forms.py:UsernameField.to_python,0.647072,0.941147,0.823517,,0.7781
0773837e,django__django-13658,0773837e15bb632afffb6848a58c59a791008fa1,django/core/management/__init__.py:ManagementUtility.execute,django/core/management/__init__.py:ManagementUtility.execute,exact,2,29260,1,21415,204,2,151,1,50,50,5,django/core/management/base.py:BaseCommand.create_parser,0.637540,0.969811,0.836903,,0.7388
08a4ee06,django__django-11283,08a4ee06510ae45562c228eefbdcaac84bd38c7a,django/contrib/auth/models.py:Permission,,missing,3,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3892
0bd2c0c9,django__django-16400,0bd2c0c9015b53c41394a1c0989afbfd94dc2830,django/contrib/auth/management/__init__.py:create_permissions,django/contrib/auth/management/__init__.py:create_permissions,exact,4,32098,1,50678,334,2,240,42,50,50,5,django/db/backends/base/schema.py:BaseDatabaseSchemaEditor.create_model,0.581385,0.973402,0.816595,,0.6711
0c42cdf0,django__django-13925,0c42cdf0d2422f4c080e93594d5d15381d6e955e,django/apps/config.py:AppConfig.default_auto_field,django/apps/config.py:AppConfig.default_auto_field,exact,2,29458,1,48459,169,1,109,9,50,41,5,django/db/models/options.py:Options._get_default_pk_class,0.766055,0.921108,0.859087,,0.7548
0d4e575c,django__django-14997,0d4e575c96d408e0efb4dfd0cbfc864219776950,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.add_constraint,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.add_constraint,exact,4,30650,1,51479,354,2,287,15,50,50,5,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.remove_constraint,0.889829,0.670818,0.758423,,0.7280
142ab684,django__django-12470,142ab6846ac09d6d401e26fc8b6b988a583ac0f5,django/db/models/sql/compiler.py:SQLCompiler.pre_sql_setup,django/db/models/sql/compiler.py:SQLCompiler.pre_sql_setup,exact,4,28092,1,9112,74,3,14,7,50,46,5,django/db/models/sql/compiler.py:SQLAggregateCompiler.as_sql,0.671861,0.984441,0.859409,,0.6606
16218c20,django__django-13220,16218c20606d8cd89c5393970c83da04598a3e04,django/core/exceptions.py:ValidationError.message_dict,django/core/exceptions.py:ValidationError.message_dict,exact,2,28821,1,2185,107,2,49,6,50,43,5,django/core/exceptions.py:ValidationError.__repr__,0.668934,1.000000,0.867574,,0.6969
1710cdbe,django__django-14016,1710cdbe79c90665046034fe1700933d038d90ad,django/utils/tree.py:Node.__deepcopy__,django/utils/tree.py:Node.__deepcopy__,exact,3,29532,1,37727,56,1,5,0,50,49,5,django/http/request.py:QueryDict.copy,0.737270,0.995592,0.892263,,0.7612
17455e92,django__django-11049,17455e924e243e7a55e8a38f45966d8cbb27c273,django/utils/dateparse.py:parse_duration,django/utils/dateparse.py:parse_duration,exact,3,26645,1,439,90,1,37,2,50,46,5,django/db/backends/sqlite3/base.py:_sqlite_datetime_parse,0.663019,0.993483,0.861297,,0.6206
184a6eeb,django__django-13230,184a6eebb0ef56d5f1b1315a8e666830e37f3f81,django/contrib/syndication/views.py:Feed._get_dynamic_attr,django/contrib/syndication/views.py:Feed._get_dynamic_attr,exact,3,28827,1,32113,133,1,76,6,50,48,5,django/contrib/sitemaps/__init__.py:Sitemap._get,0.673219,0.918505,0.820390,,0.7105
191f6a9a,django__django-16816,191f6a9a4586b5e5f79f4f42f190e7ad4bbacc84,django/contrib/admin/checks.py:ModelAdminChecks._check_list_display_item,django/contrib/admin/checks.py:ModelAdminChecks._check_list_display_item,exact,4,32382,1,60373,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.4374
19fc6376,django__django-11179,19fc6376ce67d01ca37a91ef2f55ef769f50513a,django/db/models/deletion.py:Collector.delete,django/db/models/deletion.py:Collector.delete,exact,2,26764,1,15684,117,2,46,19,50,49,5,django/db/models/query.py:QuerySet.delete,0.747007,0.998837,0.898105,,0.7235
1bd6a7a0,django__django-13710,1bd6a7a0acc11e249fca11c017505ad39f15ebf6,django/db/models/options.py:Options.contribute_to_class,django/db/models/options.py:Options.contribute_to_class,exact,1,30469,1,53040,721,1,619,51,50,49,5,django/db/models/base.py:ModelBase.__new__,0.721820,0.905315,0.831917,,0.7807
1d0fa848,django__django-16379,1d0fa848e084cad62d0bb6bde3b51e4862558e57,django/core/cache/backends/filebased.py:FileBasedCache._is_expired,django/core/cache/backends/filebased.py:FileBasedCache._is_expired,exact,3,32040,1,22088,102,2,50,0,50,44,5,django/core/cache/backends/base.py:BaseCache.delete,0.677744,0.979864,0.859016,,0.7216
29345aec,django__django-14382,29345aecf6e8d53ccb3577a3762bb0c263f7558d,django/core/management/templates.py:TemplateCommand.validate_name,django/core/management/templates.py:TemplateCommand.validate_name,exact,3,29894,1,36140,244,3,191,0,50,50,5,django/core/management/commands/showmigrations.py:Command._validate_app_names,0.681044,0.961901,0.849559,,0.7038
2c01ebb4,django__django-15061,2c01ebb4be5d53cbf6450f356c10e436025d6d07,django/forms/widgets.py:MultiWidget.id_for_label,django/forms/widgets.py:MultiWidget.id_for_label,exact,2,30730,1,32839,117,2,54,11,50,34,5,django/forms/widgets.py:ChoiceWidget.id_for_label,0.823706,0.989282,0.923051,,0.7367
2e0f0450,django__django-12308,2e0f04507b17362239ba49830d26fec504d46978,django/forms/fields.py:JSONField.prepare_value,django/forms/fields.py:JSONField.prepare_value,exact,3,28336,1,40897,67,1,15,1,50,49,5,django/db/models/fields/json.py:JSONField.get_prep_value,0.844351,0.845937,0.845302,,0.6917
2f13c476,django__django-14155,2f13c476abe4ba787b6cb71131818341911f43cc,django/urls/resolvers.py:ResolverMatch,,missing,2,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3894
2f72480f,django__django-11905,2f72480fbd27896c986c45193e1603e35c0b19a7,django/contrib/admin/utils.py:prepare_lookup_value,django/contrib/admin/utils.py:prepare_lookup_value,exact,3,27464,1,25595,101,2,45,4,50,48,5,django/db/models/fields/__init__.py:Field.get_db_prep_save,0.653160,0.967099,0.841523,,0.7029
30e123ed,django__django-14238,30e123ed351317b7527f632b3b7dc4e81e850449,django/db/models/fields/__init__.py:AutoFieldMeta._subclasses,django/db/models/fields/__init__.py:AutoFieldMeta._subclasses,exact,2,29807,1,2919,206,1,149,6,50,28,5,django/db/models/fields/__init__.py:PositiveIntegerRelDbTypeMixin.__init_subclass__,0.705866,1.000000,0.882347,,0.6255
3346b78a,django__django-11797,3346b78a8a872286a245d1e77ef4718fc5e6be1a,django/db/models/expressions.py:Subquery.get_group_by_cols,django/db/models/expressions.py:Subquery.get_group_by_cols,exact,4,27365,1,43189,82,1,14,17,50,42,5,django/db/models/sql/compiler.py:SQLCompiler.get_default_columns,0.625355,0.958726,0.825377,,0.6738
35b03788,django__django-13321,35b03788b0607c1f8d2b64e4fa9e1669b0907ea4,django/contrib/sessions/backends/base.py:SessionBase._legacy_decode,django/contrib/sessions/backends/base.py:SessionBase._legacy_decode,exact,6,28917,1,46920,5181,6,3274,1851,50,40,5,django/views/generic/edit.py:ProcessFormView.post,0.359692,0.993010,0.739683,,0.8396
361bb8f7,django__django-15252,361bb8f786f112ee275be136795c0b1ecefff928,django/db/migrations/recorder.py:MigrationRecorder.record_applied,django/db/migrations/recorder.py:MigrationRecorder.record_applied,exact,3,30957,1,27112,228,3,175,0,50,46,5,django/db/migrations/operations/special.py:RunSQL.database_forwards,0.696259,0.907039,0.822727,,0.6549
36bc4706,django__django-13315,36bc47069ce071e80c8129500de3b8664d2058a7,django/db/models/sql/query.py:Query.add_q,django/db/models/sql/query.py:Query.add_q,exact,4,29174,1,38587,160,2,97,11,50,50,5,django/db/models/sql/query.py:Query._add_q,0.855156,0.673401,0.746103,,0.7056
36fa071d,django__django-14580,36fa071d6ebd18a61c4d7f1b5c9d17106134bd44,django/db/migrations/serializer.py:DeconstructableSerializer.serialize,django/db/migrations/serializer.py:DeconstructableSerializer.serialize,exact,4,30062,1,15000,120,2,34,34,50,37,5,django/db/migrations/serializer.py:ModelFieldSerializer.serialize,0.875972,0.699746,0.770236,,0.7067
3bc4240d,django__django-12983,3bc4240d979812bd11365ede04c028ea13fdc8c6,django/utils/text.py:slugify,django/utils/text.py:slugify,exact,2,28454,1,3275,87,2,31,4,50,48,5,django/utils/text.py:camel_case_to_spaces,0.736678,0.949934,0.864631,,0.6667
3f140dde,django__django-13757,3f140dde51c0fe6c350acb7727bbe489a99f0632,django/db/models/fields/json.py:KeyTransformIsNull,,missing,5,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.4976
4142739a,django__django-16910,4142739af1cda53581af4169dbe16d6cd5e26948,django/db/models/sql/query.py:Query.add_select_related,django/db/models/sql/query.py:Query.add_select_related,exact,4,32529,1,23248,145,3,82,10,50,50,5,django/contrib/admin/views/main.py:ChangeList.apply_select_related,0.787350,0.965675,0.894345,,0.7253
42e8cf47,django__django-13933,42e8cf47c7ee2db238bf91197ea398126c546741,django/forms/models.py:ModelChoiceField.to_python,django/forms/models.py:ModelChoiceField.to_python,exact,2,29473,1,41106,64,1,9,4,50,50,5,django/forms/models.py:ModelChoiceField.prepare_value,0.676384,0.993843,0.866860,,0.7932
444b6da7,django__django-16255,444b6da7cc229a58a2c476a52e45233001dc7073,django/contrib/sitemaps/__init__.py:Sitemap.get_latest_lastmod,django/contrib/sitemaps/__init__.py:Sitemap.get_latest_lastmod,exact,2,31916,1,41912,181,1,114,16,50,48,5,django/contrib/sessions/backends/file.py:SessionStore._expiry_date,0.562536,0.971934,0.808175,,0.6384
447980e7,django__django-12708,447980e72ac01da1594dd3373a03ba40b7ee6f80,django/db/backends/base/schema.py:BaseDatabaseSchemaEditor._constraint_names,django/db/backends/base/schema.py:BaseDatabaseSchemaEditor._constraint_names,exact,4,28209,1,53259,123,1,59,13,50,50,5,django/db/backends/mysql/introspection.py:DatabaseIntrospection.get_constraints,0.844133,0.884110,0.868119,,0.6784
44c24bf0,django__django-15902,44c24bf02835323d5418512ebe8e76166739ebf8,django/forms/boundfield.py:BoundWidget.template_name,django/forms/boundfield.py:BoundWidget.template_name,exact,5,31708,1,24963,869,1,533,285,50,40,5,django/core/management/templates.py:TemplateCommand.handle_template,0.527800,0.813498,0.699219,,0.7386
45396747,django__django-13401,453967477e3ddae704cd739eac2449c0e13d464c,django/db/models/fields/__init__.py:Field.__lt__,django/db/models/fields/__init__.py:Field.__lt__,exact,4,28957,1,48662,153,3,91,9,50,36,5,django/utils/functional.py:lazy.__proxy__.__lt__,0.664640,0.911943,0.813022,,0.6018
4652f1f0,django__django-12915,4652f1f0aa459a7b980441d629648707c32e36bf,django/core/handlers/base.py:BaseHandler.get_response_async,django/core/handlers/base.py:BaseHandler.get_response_async,exact,3,28542,1,32695,222,3,162,7,50,50,5,django/core/handlers/base.py:BaseHandler._get_response_async,0.832070,0.919208,0.884353,,0.6625
466920f6,django__django-14017,466920f6d726eee90d5566e0a9948e92b33a122e,django/db/models/query_utils.py:Q._combine,django/db/models/query_utils.py:Q._combine,exact,2,29532,1,57808,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3860
475cffd1,django__django-14855,475cffd1d64c690cdad16ede4d5e81985738ceb4,django/urls/base.py:reverse,django/urls/base.py:reverse,exact,2,30567,1,30563,203,2,142,9,50,50,5,django/db/migrations/operations/special.py:RunPython.database_backwards,0.613810,0.971346,0.828331,,0.7231
49ae7ce5,django__django-12908,49ae7ce50a874f8a04cd910882fb9571ff3a0d7a,django/db/models/sql/compiler.py:SQLCompiler.get_combinator_sql,django/db/models/sql/compiler.py:SQLCompiler.get_combinator_sql,exact,5,28356,1,18151,465,4,126,285,50,46,5,django/contrib/postgres/search.py:SearchQueryCombinable._combine,0.576592,0.951075,0.801282,,0.6450
4a72da71,django__django-17087,4a72da71001f154ea60906a2f74898d32b7322a7,django/db/migrations/serializer.py:serializer_factory,django/db/migrations/serializer.py:serializer_factory,exact,3,32695,1,33830,87,2,30,5,50,48,5,django/db/migrations/writer.py:MigrationWriter.serialize,0.767745,0.699945,0.727065,,0.7794
4c76ffc2,django__django-15400,4c76ffc2d6c77c850b4bef8d9acc197d11c47937,django/utils/functional.py:new_method_proxy,django/utils/functional.py:new_method_proxy,exact,2,31143,1,60523,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3959
4fd3044c,django__django-15202,4fd3044ca0135da903a70dfb66992293f529ecf1,django/core/validators.py:URLValidator.__call__,django/core/validators.py:URLValidator.__call__,exact,3,30881,1,3426,100,3,47,0,50,50,5,django/forms/fields.py:DecimalField.validate,0.577049,0.926227,0.786556,,0.7317
4fe3774c,django__django-14730,4fe3774c729f3fd5105b3001fe69a70bdca95ac3,django/db/models/fields/related.py:ManyToManyField._check_ignored_options,django/db/models/fields/related.py:ManyToManyField._check_ignored_options,exact,2,30297,1,40697,81,2,16,13,50,0,0,,0.000000,0.000000,0.000000,no_candidates_after_intent_compatibility,0.7983
50c3ac6f,django__django-13660,50c3ac6fa9b7c8a94a6d1dc87edf775e3bc4d575,django/core/management/commands/shell.py:Command.handle,django/core/management/commands/shell.py:Command.handle,exact,4,29264,1,42941,192,4,125,13,50,50,5,django/db/backends/mysql/base.py:CursorWrapper.execute,0.467456,0.972172,0.770285,,0.6871
514efa31,django__django-11620,514efa3129792ec2abb2444f3e7aeb3f21a38386,django/views/debug.py:technical_500_response,django/views/debug.py:technical_500_response,exact,5,27181,1,16683,1597,2,1246,299,50,47,5,django/core/handlers/exception.py:handle_uncaught_exception,0.801048,0.690248,0.734568,,0.6190
580e644f,django__django-11564,580e644f24f1c5ae5b94784fb73a9953a178fd26,django/core/files/storage.py:FileSystemStorage.url,django/core/files/storage.py:FileSystemStorage.url,exact,3,27396,1,54442,109,2,54,3,50,49,5,django/contrib/staticfiles/storage.py:HashedFilesMixin._url,0.660260,0.959208,0.839628,,0.5736
5d674eac,django__django-12184,5d674eac871a306405b0fbbaeb17bbeba9c68bf3,django/core/handlers/base.py:BaseHandler._get_response,django/core/handlers/base.py:BaseHandler._get_response,exact,3,27666,1,13587,214,1,153,10,50,48,5,django/urls/resolvers.py:URLResolver.resolve,0.619202,0.974443,0.832346,,0.6298
5eb6a2b3,django__django-15814,5eb6a2b33d70b9889e1cafa12594ad6f80773d3a,django/db/models/sql/query.py:Query.deferred_to_data,django/db/models/sql/query.py:Query.deferred_to_data,exact,2,31682,1,61525,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.4057
60dc957a,django__django-11583,60dc957a825232fdda9138e2f8878b2ca407a7c9,django/utils/autoreload.py:iter_modules_and_files,django/utils/autoreload.py:iter_modules_and_files,exact,4,27125,1,56996,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3774
62254c52,django__django-12113,62254c5202e80a68f4fe6572a2be46a3d953de1a,django/db/backends/sqlite3/base.py:SQLiteCursorWrapper.execute,django/db/backends/sqlite3/base.py:SQLiteCursorWrapper.execute,exact,7,27622,1,53734,4893,7,2898,1938,50,46,5,django/db/models/lookups.py:FieldGetDbPrepValueIterableMixin.resolve_expression_parameter,0.485398,0.782632,0.663738,,0.7213
64748016,django__django-15695,647480166bfe7532e8c471fef0146e3a17e6c0c9,django/db/migrations/operations/models.py:RenameIndex.database_backwards,django/db/migrations/operations/models.py:RenameIndex.database_backwards,exact,3,31565,1,60772,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.4205
65e86948,django__django-11630,65e86948b80262574058a94ccaae3a9b59c3faea,django/apps/registry.py:Apps.get_models,django/apps/registry.py:Apps.get_models,exact,2,27170,1,26767,94,1,34,9,50,49,5,django/apps/config.py:AppConfig.get_models,0.957319,0.897162,0.921225,,0.5708
6a970a8b,django__django-14667,6a970a8b4600eb91be25f38caed0a52269d6303d,django/db/models/sql/query.py:Query.add_deferred_loading,django/db/models/sql/query.py:Query.add_deferred_loading,exact,4,30224,1,3766,113,4,48,11,50,0,0,,0.000000,0.000000,0.000000,no_candidates_after_intent_compatibility,0.6387
