commit_short,instance_id,base_commit,seed_node_id,seed_node_resolved,seed_resolution_mode,seed_depth,embed_nodes,vector_used,seed_pool_idx,scanned,skipped_original,skipped_test_file,skipped_depth_mismatch,top_indices,compat_nonempty,candidates,best_anchor_node_id,best_vector_score,best_topology_score,best_final_score,failure_reason,elapsed_s
6df9398c,django__django-16041,6df9398cce063874ae4d59db126d4adacb0fa8d3,django/forms/formsets.py:BaseFormSet._construct_form,django/forms/formsets.py:BaseFormSet._construct_form,exact,3,31811,1,51715,104,3,49,2,50,49,5,django/forms/models.py:BaseModelFormSet.initial_form_count,0.763327,0.936831,0.867429,,0.7325
6f73eb9d,django__django-15738,6f73eb9d90cfec684529aab48d517e3d6449ba8c,django/db/models/fields/related.py:ManyToManyField,,missing,5,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.4186
755dbf39,django__django-13590,755dbf39fcdc491fe9b588358303e259c7750be4,django/db/models/lookups.py:Range,,missing,2,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3073
78ad4b4b,django__django-13028,78ad4b4b0201003792bfdbf1a7781cbc9ee03539,django/db/models/sql/query.py:Query.check_filterable,django/db/models/sql/query.py:Query.check_filterable,exact,4,28541,1,21024,217,2,140,25,50,47,5,django/db/models/sql/query.py:Query.split_exclude,0.672933,0.873248,0.793122,,0.6435
7af8f412,django__django-13158,7af8f4127397279d19ef7c7899e93018274e2f9b,django/forms/models.py:ModelMultipleChoiceField._check_values,django/forms/models.py:ModelMultipleChoiceField._check_values,exact,5,28718,1,44323,507,2,304,151,50,49,5,django/contrib/admin/checks.py:BaseModelAdminChecks._check_prepopulated_fields_value,0.750609,0.934992,0.861239,,0.7225
7b9596b9,django__django-13448,7b9596b974fb0ad1868b10c8c2174e10b72be403,django/db/backends/base/creation.py:BaseDatabaseCreation.serialize_db_to_string,django/db/backends/base/creation.py:BaseDatabaseCreation.serialize_db_to_string,exact,4,29047,1,18377,156,2,84,20,50,50,5,django/db/models/functions/text.py:Left.as_sqlite,0.620730,0.962823,0.825986,,0.5892
7c4f3965,django__django-15347,7c4f3965098baad2396e24501e09237425a7bd6f,django/contrib/messages/storage/cookie.py:MessageDecoder.process_messages,django/contrib/messages/storage/cookie.py:MessageDecoder.process_messages,exact,3,31072,1,43143,67,3,14,0,50,48,5,django/contrib/messages/storage/base.py:BaseStorage._prepare_messages,0.642716,0.945831,0.824585,,0.6860
7f33c1e2,django__django-14608,7f33c1e22dbc34a7afae7967783725b10f1f13b1,django/forms/utils.py:ErrorList,,missing,2,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3702
7f9e4524,django__django-13551,7f9e4524d6b23424cf44fbe1bf1f4e70f6bb066e,django/contrib/auth/base_user.py:AbstractBaseUser.get_email_field_name,django/contrib/auth/base_user.py:AbstractBaseUser.get_email_field_name,exact,4,29140,1,54456,111,1,35,25,50,43,5,django/contrib/sites/managers.py:CurrentSiteManager._get_field_name,0.747981,0.685889,0.710726,,0.6817
8328811f,django__django-12856,8328811f048fed0dd22573224def8c65410c9f2e,django/db/models/base.py:Model._check_local_fields,django/db/models/base.py:Model._check_local_fields,exact,2,28387,1,3161,89,1,20,18,50,50,5,django/forms/models.py:BaseModelForm._get_validation_exclusions,0.656798,0.833034,0.762540,,0.6276
84633905,django__django-11999,84633905273fc916e3d17883810d9969c03f73c2,django/db/models/base.py:Model._get_FIELD_display,django/db/models/base.py:Model._get_FIELD_display,exact,2,27514,1,15009,83,1,17,15,50,50,5,django/contrib/admin/utils.py:display_for_field,0.775301,0.671356,0.712934,,0.6329
877c800f,django__django-15819,877c800f255ccaa7abde1fb944de45d1616f5cc9,django/db/models/fields/related.py:ForeignKey,,missing,5,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.4106
879cc3da,django__django-11133,879cc3da6249e920b8d54518a0ae06de835d7373,django/http/response.py:HttpResponseBase.make_bytes,django/http/response.py:HttpResponseBase.make_bytes,exact,2,26748,1,34591,116,2,56,8,50,48,5,django/db/models/fields/__init__.py:BinaryField.value_to_string,0.697124,0.939078,0.842297,,0.6450
895f28f9,django__django-12589,895f28f9cbed817c00ab68770433170d83132d90,django/db/backends/postgresql/operations.py:DatabaseOperations,,missing,6,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3048
89d41cba,django__django-12125,89d41cba392b759732ba9f1db4ff29ed47da6a56,django/db/models/fields/__init__.py:Field.deconstruct,django/db/models/fields/__init__.py:Field.deconstruct,exact,5,27629,1,18365,513,3,216,244,50,46,5,django/utils/deconstruct.py:deconstructible.decorator.deconstruct,0.818816,0.699880,0.747454,,0.6158
8d160f15,django__django-15781,8d160f154f0240a423e83ffe0690e472f837373c,django/core/management/base.py:DjangoHelpFormatter,,missing,4,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3673
903aaa35,django__django-14915,903aaa35e5ceaa33bfc9b19b7f6da65ce5a91dd4,django/forms/models.py:ModelChoiceIterator,,missing,6,0,0,-1,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_anchor_not_in_commit_map,0.3719
910ecd1b,django__django-14534,910ecd1b8df7678f45c3d507dde6bcb1faafa243,django/forms/widgets.py:Widget.id_for_label,django/forms/widgets.py:Widget.id_for_label,exact,4,30290,1,10849,254,4,151,49,50,48,5,django/contrib/admin/widgets.py:RelatedFieldWidgetWrapper.id_for_label,0.899120,0.825055,0.854681,,0.6667
93e892bb,django__django-11019,93e892bb645b16ebaf287beb5fe7f3ffe8d10408,django/forms/widgets.py:Media._js,django/forms/widgets.py:Media._js,exact,4,26618,1,59896,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3119
965d2d95,django__django-13768,965d2d95c630939b53eb60d9c169f5dfc77ee0c6,django/dispatch/dispatcher.py:Signal.send_robust,django/dispatch/dispatcher.py:Signal.send_robust,exact,1,29355,1,54765,352,1,241,60,50,50,5,django/dispatch/dispatcher.py:Signal.send,0.931809,0.980757,0.961178,,0.6476
979f61ab,django__django-12286,979f61abd322507aafced9627702362e541ec34e,django/utils/translation/trans_real.py:get_supported_language_variant,django/utils/translation/trans_real.py:get_supported_language_variant,exact,3,27760,1,29068,136,3,83,0,50,41,5,django/utils/translation/trans_real.py:get_language_from_path,0.850008,0.947483,0.908493,,0.6622
a4881f5e,django__django-12497,a4881f5e5d7ee38b7e83301331a0b4962845ef8a,django/db/models/fields/related.py:ManyToManyField._check_relationship_model,django/db/models/fields/related.py:ManyToManyField._check_relationship_model,exact,1,27967,1,58076,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3200
a59de6e8,django__django-13033,a59de6e89e8dc1f3e71c9a5a5bbceb373ea5247e,django/db/models/expressions.py:OrderBy.as_sql,django/db/models/expressions.py:OrderBy.as_sql,exact,4,28547,1,5653,90,1,14,25,50,47,5,django/db/models/functions/text.py:ConcatPair.as_sqlite,0.759556,0.988788,0.897095,,0.6767
a754b82d,django__django-14999,a754b82dac511475b6276039471ccd17cc64aeb8,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.alter_db_table,django/db/backends/sqlite3/schema.py:DatabaseSchemaEditor.alter_db_table,exact,3,30690,1,11803,143,3,90,0,50,50,5,django/db/backends/ddl_references.py:Statement.rename_table_references,0.764480,0.984087,0.896244,,0.7841
b2b0711b,django__django-13265,b2b0711b555fa292751763c2df4fe577c396f265,django/db/migrations/operations/models.py:AddIndex.database_forwards,django/db/migrations/operations/models.py:AddIndex.database_forwards,exact,4,28870,1,46581,315,2,196,67,50,43,5,django/db/migrations/operations/models.py:AlterTogetherOptionOperation.database_forwards,0.851509,0.698465,0.759682,,0.6450
b30c0081,django__django-15996,b30c0081d4d8a31ab7dc7f72a4c7099af606ef29,django/db/migrations/serializer.py:EnumSerializer.serialize,django/db/migrations/serializer.py:EnumSerializer.serialize,exact,3,31772,1,52609,95,2,21,22,50,48,5,django/db/migrations/serializer.py:BaseSerializer.serialize,0.634503,0.921536,0.806723,,0.7470
b330b918,django__django-12453,b330b918e979ea39a21d47b61172d112caf432c3,django/db/backends/base/creation.py:BaseDatabaseCreation.serialize_db_to_string,django/db/backends/base/creation.py:BaseDatabaseCreation.serialize_db_to_string,exact,4,27865,1,8855,165,2,87,26,50,48,5,django/db/migrations/executor.py:MigrationExecutor.apply_migration,0.611670,0.989990,0.838662,,0.6361
b4817d20,django__django-15851,b4817d20b9e55df30be0b1b2ca8c8bb6d61aab07,django/db/backends/postgresql/client.py:DatabaseClient.settings_to_cmd_args_env,django/db/backends/postgresql/client.py:DatabaseClient.settings_to_cmd_args_env,exact,3,31720,1,12984,183,2,130,1,50,50,5,django/db/backends/mysql/client.py:DatabaseClient.settings_to_cmd_args_env,0.956290,0.936309,0.944301,,0.7773
b55ebe32,django__django-15320,b55ebe32417e0884b6b8b3e1bc0379033aa221af,django/db/models/sql/query.py:Query.as_sql,django/db/models/sql/query.py:Query.as_sql,exact,2,31024,1,7730,76,2,13,11,50,42,5,django/db/models/sql/where.py:SubqueryConstraint.as_sql,0.837146,0.697125,0.753134,,0.7316
b64db05b,django__django-14752,b64db05b9cedd96905d637a2d824cbbf428e40e7,django/contrib/admin/widgets.py:AutocompleteSelect,django/contrib/admin/widgets.py:AutocompleteSelect,exact,4,30313,1,55732,491,2,372,67,50,44,5,django/contrib/admin/options.py:BaseModelAdmin.get_autocomplete_fields,0.727151,0.986043,0.882486,,0.6576
b7a17b0e,django__django-17051,b7a17b0ea0a2061bae752a3a2292007d41825814,django/db/models/sql/compiler.py:SQLInsertCompiler.execute_sql,django/db/models/sql/compiler.py:SQLInsertCompiler.execute_sql,exact,4,32686,1,23112,64,2,7,5,50,49,5,django/db/models/indexes.py:IndexExpression.as_sqlite,0.568327,0.984685,0.818142,,0.7053
bceadd27,django__django-10924,bceadd2788dc2dad53eba0caae172bd8522fd483,django/forms/fields.py:FilePathField,django/forms/fields.py:FilePathField,exact,2,26848,1,33786,180,1,111,18,50,48,5,django/db/models/fields/__init__.py:FilePathField.formfield,0.801319,0.699977,0.740513,,0.6937
bd366ca2,django__django-16527,bd366ca2aeffa869b7dbc0b0aa01caea75e6dc31,django/contrib/admin/options.py:BaseModelAdmin.has_add_permission,django/contrib/admin/options.py:BaseModelAdmin.has_add_permission,exact,2,32100,1,21440,175,1,123,1,50,47,5,django/contrib/admin/options.py:BaseModelAdmin.has_view_permission,0.804851,0.990316,0.916130,,0.7548
c5cd8783,django__django-15388,c5cd8783825b5f6384417dac5f3889b4210b7d08,django/template/loaders/filesystem.py:Loader.get_dirs,django/template/loaders/filesystem.py:Loader.get_dirs,exact,4,31117,1,37908,145,1,71,23,50,27,5,scripts/manage_translations.py:_get_locale_dirs,0.552503,0.969318,0.802592,,0.7090
c5e373d4,django__django-12284,c5e373d48cbdd923575956fed477b63d66d9603f,django/db/models/base.py:ModelBase.__new__,django/db/models/base.py:ModelBase.__new__,exact,4,27784,1,20376,462,1,364,47,50,50,5,django/db/models/options.py:Options.contribute_to_class,0.721535,0.972142,0.871899,,0.7017
c61219a7,django__django-16820,c61219a7ae051d2baab53f041e00592011fc550c,django/db/migrations/operations/models.py:AlterIndexTogether,django/db/migrations/operations/models.py:AlterIndexTogether,exact,3,32387,1,7483,250,3,197,0,50,47,5,django/db/backends/base/schema.py:BaseDatabaseSchemaEditor.alter_index_together,0.859640,0.938246,0.906804,,0.7377
c627226d,django__django-15790,c627226d05dd52aef59447dcfb29cec2c2b11b8a,django/template/backends/django.py:get_template_tag_modules,django/template/backends/django.py:get_template_tag_modules,exact,2,31677,1,40426,88,2,26,10,50,46,5,django/template/defaulttags.py:load,0.715147,0.977893,0.872794,,0.6985
c86201b6,django__django-12747,c86201b6ed4f8256b0a0520c08aa674f623d4127,django/db/models/deletion.py:Collector.delete,django/db/models/deletion.py:Collector.delete,exact,2,28200,1,25530,123,2,53,18,50,48,5,django/db/models/base.py:Model.delete,0.771908,0.997146,0.907051,,0.7122
d232fd76,django__django-11910,d232fd76a85870daf345fd8f8d617fe7802ae194,django/db/models/fields/related.py:ForeignObject._check_to_fields_exist,django/db/models/fields/related.py:ForeignObject._check_to_fields_exist,exact,4,27433,1,49048,88,1,29,8,50,50,5,django/db/models/base.py:Model._check_local_fields,0.774412,0.872670,0.833366,,0.7041
d26b2424,django__django-11099,d26b2424437dabeeca94d7900b37d2df4410da0c,django/contrib/auth/validators.py:ASCIIUsernameValidator,django/contrib/auth/validators.py:ASCIIUsernameValidator,exact,3,26724,1,12834,232,2,180,0,50,46,5,django/contrib/sites/models.py:_simple_domain_name_validator,0.630583,0.911700,0.799253,,0.5509
d4d54275,django__django-15789,d4d5427571b4bf3a21c902276c2a00215c2a37cc,django/utils/html.py:json_script,django/utils/html.py:json_script,exact,2,31679,1,12143,210,2,156,2,50,49,5,django/utils/html.py:escapejs,0.831366,0.942610,0.898113,,0.7582
d51c50d8,django__django-12700,d51c50d836c5cf8db5566da17963f871be554615,django/views/debug.py:ExceptionReporter.get_traceback_data,django/views/debug.py:ExceptionReporter.get_traceback_data,exact,3,28158,1,33304,145,1,91,3,50,50,5,django/views/debug.py:ExceptionReporter.get_traceback_text,0.735245,0.945554,0.861430,,0.6105
d5276398,django__django-11039,d5276398046ce4a102776a1e67dcac2884d80dfe,django/core/management/commands/sqlmigrate.py:Command.handle,django/core/management/commands/sqlmigrate.py:Command.handle,exact,1,31247,1,31697,355,1,227,77,50,45,5,django/db/migrations/migration.py:Migration.unapply,0.643918,0.975931,0.843126,,0.7813
d559cb02,django__django-16139,d559cb02da30f74debbb1fc3a46de0df134d2d80,tests/admin_views/admin.py:UndeletableObjectAdmin.change_view,tests/admin_views/admin.py:UndeletableObjectAdmin.change_view,exact,1,31879,1,44576,497,1,388,58,50,44,5,django/contrib/admin/options.py:ModelAdmin.changeform_view,0.689953,0.925721,0.831414,,0.8212
d90e34c6,django__django-15498,d90e34c61b27fba2527834806639eebbcfab9631,django/utils/cache.py:_if_modified_since_passes,django/utils/cache.py:_if_modified_since_passes,exact,5,31247,1,48013,1000,5,753,192,50,50,5,django/utils/cache.py:_if_unmodified_since_passes,0.975237,0.851487,0.900987,,0.7136
df46b329,django__django-11422,df46b329e0900e9e4dc1d60816c1dce6dfc1094e,django/utils/autoreload.py:iter_modules_and_files,django/utils/autoreload.py:iter_modules_and_files,exact,7,26897,1,11072,14339,6,10649,3634,50,43,5,django/db/models/fields/related_descriptors.py:create_reverse_many_to_one_manager.RelatedManager.get_prefetch_queryset,0.310436,0.998179,0.723082,,0.8620
e02f67ef,django__django-11815,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,django/db/migrations/serializer.py:EnumSerializer.serialize,django/db/migrations/serializer.py:EnumSerializer.serialize,exact,2,27411,1,54872,126,1,40,35,50,47,5,django/db/migrations/writer.py:MigrationWriter.serialize,0.636330,0.968454,0.835604,,0.6868
e7fd69d0,django__django-10914,e7fd69d051eaa67cb17f172a39b57253e9cb831a,django/core/files/storage.py:FileSystemStorage.file_permissions_mode,django/core/files/storage.py:FileSystemStorage.file_permissions_mode,exact,3,26584,1,4904,141,1,90,0,50,37,5,django/contrib/auth/management/__init__.py:_get_builtin_permissions,0.553751,0.965188,0.800613,,0.6298
ec13e801,django__django-16046,ec13e801b820614ff374cb0046092caab8d67249,django/utils/numberformat.py:format,django/utils/numberformat.py:format,exact,3,31813,1,28220,103,2,50,1,50,48,5,django/utils/formats.py:time_format,0.675612,0.988000,0.863045,,0.6730
ef082ebb,django__django-11001,ef082ebb84f00e38af4e8880d04e8365c2766d34,django/db/models/sql/compiler.py:SQLCompiler.get_order_by,django/db/models/sql/compiler.py:SQLCompiler.get_order_by,exact,2,26851,1,60479,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.4077
ef85b6bf,django__django-16408,ef85b6bf0bc5a8b194f0724cf5bbedbcee402b96,django/db/models/sql/compiler.py:SQLCompiler.get_related_selections,django/db/models/sql/compiler.py:SQLCompiler.get_related_selections,exact,5,32074,1,63378,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,seed_vector_norm_zero,0.3480
f0adf3b9,django__django-11848,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,django/utils/http.py:parse_http_date,django/utils/http.py:parse_http_date,exact,1,27412,1,18209,337,1,202,84,50,49,5,django/utils/http.py:http_date,0.843231,0.947206,0.905616,,0.6715
f39634ff,django__django-13964,f39634ff229887bf7790c069d0c411b38494ca38,django/db/models/fields/related_descriptors.py:ForeignKeyDeferredAttribute.__set__,django/db/models/fields/related_descriptors.py:ForeignKeyDeferredAttribute.__set__,exact,1,29481,1,47076,249,1,77,121,50,44,5,django/utils/functional.py:cached_property.func,0.682279,0.979584,0.860662,,0.8174
f9fe062d,django__django-16595,f9fe062de5fc0896d6bbbf3f260b5c44473b3c77,django/db/migrations/operations/fields.py:AlterField.reduce,django/db/migrations/operations/fields.py:AlterField.reduce,exact,5,32166,1,46475,833,5,449,329,50,42,5,django/db/migrations/operations/models.py:AlterTogetherOptionOperation.can_reduce_through,0.722597,0.690015,0.703048,,0.7449
fa4e963e,django__django-14411,fa4e963ee7e6876581b5432363603571839ba00c,django/contrib/auth/forms.py:ReadOnlyPasswordHashWidget.get_context,django/contrib/auth/forms.py:ReadOnlyPasswordHashWidget.get_context,exact,3,29916,1,43411,68,1,17,0,50,46,5,django/contrib/auth/hashers.py:make_password,0.575516,0.995855,0.827719,,0.7626
fc2b1cc9,django__django-11964,fc2b1cc926e34041953738e58fa6ad3053059b22,django/db/models/fields/__init__.py:Field.contribute_to_class,django/db/models/fields/__init__.py:Field.contribute_to_class,exact,5,27491,1,3376,1386,3,1055,278,50,46,5,django/db/models/base.py:model_unpickle,0.622364,0.694931,0.665904,,0.6908
fce90950,django__django-16873,fce90950bef348803fa7cc3e6bc65f4bce429b82,django/utils/html.py:conditional_escape,django/utils/html.py:conditional_escape,exact,2,32488,1,28507,216,2,161,3,50,49,5,django/utils/html.py:format_html,0.787624,0.965240,0.894194,,0.6542
fee75d2a,django__django-11742,fee75d2aed4e58ada6567c464cfd22e89dc65f4a,django/db/models/fields/__init__.py:Field._check_choices,django/db/models/fields/__init__.py:Field._check_choices,exact,3,27364,1,45828,150,1,97,2,50,50,5,django/forms/fields.py:ChoiceField.validate,0.725161,0.698875,0.709390,,0.8187
